排名,姓名,姓名（英文）,财富（亿美元）,财富来源,国家和地区
1,杰夫·贝索斯,Jeff Bezos,"1,130",亚马逊,美国
2,比尔·盖茨,Bill Gates,980,微软,美国
3,伯纳德·阿尔诺及家族,Bernard Arnault & family,760,LVMH,法国
4,沃伦·巴菲特,Warren Buffett,675,伯克希尔哈撒韦,美国
5,拉里·埃里森,Larry Ellison,590,软件,美国
6,阿曼西奥·奥特加,Amancio Ortega,551,Zara,西班牙
7,马克·扎克伯格,Mark Zuckerberg,547,Facebook,美国
8,吉姆·沃尔顿,Jim Walton,546,沃尔玛,美国
9,艾丽斯·沃尔顿,Alice Walton,544,沃尔玛,美国
10,罗伯·沃尔顿,Rob Walton,541,沃尔玛,美国
11,史蒂夫·鲍尔默,Steve Ballmer,527,微软,美国
12,卡洛斯·斯利姆·埃卢及家族,Carlos Slim Helu & family,521,电信,墨西哥
13,拉里·佩奇,Larry Page,509,谷歌,美国
14,谢尔盖·布林,Sergey Brin,491,谷歌,美国
15,弗朗索瓦丝·贝当古·迈耶斯及家族,Francoise Bettencourt Meyers & family,489,欧莱雅,法国
16,迈克尔·布隆伯格,Michael Bloomberg,480,彭博公司,美国
17,马云,Jack Ma,388,电商,中国内地
18,查尔斯·科赫,Charles Koch,382,科氏工业,美国
18,茱莉亚·科赫及家族,Julia Koch & family,382,科氏工业,美国
20,马化腾,Ma Huateng,381,互联网媒体,中国内地
21,穆克什·安巴尼,Mukesh Ambani,368,"石化, 油气",印度
22,麦肯齐·贝索斯,MacKenzie Bezos,360,亚马逊,美国
23,贝亚特·海斯特和小卡尔·阿尔布雷希特,Beate Heister & Karl Albrecht Jr.,333,超市,德国
24,大卫·汤姆森及家族,David Thomson & family,316,媒体,加拿大
25,菲尔·耐特及家族,Phil Knight & family,295,耐克,美国
26,李兆基,Lee Shau Kee,281,房地产,中国香港
27,弗朗索瓦·皮诺特及家族,Fran?ois Pinault & family,270,奢侈品,法国
28,谢尔登·阿德尔森,Sheldon Adelson,268,博彩,美国
29,杰奎琳·马尔斯,Jacqueline Mars,247,"糖果, 宠物食品",美国
29,约翰·马尔斯,John Mars,247,"糖果, 宠物食品",美国
31,埃隆·马斯克,Elon Musk,246,"特斯拉, SpaceX",美国
32,乔瓦尼·费列罗,Giovanni Ferrero,245,"Nutella, 巧克力",意大利
33,迈克尔·戴尔,Michael Dell,229,戴尔计算机,美国
34,许家印,Hui Ka Yan,218,房地产,中国内地
35,李嘉诚,Li Ka-shing,217,多元化经营,中国香港
36,何享健,He Xiangjian,216,家用电器,中国内地
36,吉姆·西蒙斯,Jim Simons,216,对冲基金,美国
38,杨惠妍及家族,Yang Huiyan & family,203,房地产,中国内地
39,约瑟夫·萨夫拉,Joseph Safra,199,银行业,巴西
40,迪特尔·施瓦茨,Dieter Schwarz,198,零售,德国
41,弗拉基米尔·波塔宁,Vladimir Potanin,197,金属,俄罗斯
41,柳井正及家族,Tadashi Yanai & family,197,时尚零售,日本
43,秦英林,Qin Yinglin & family,185,饲养生猪,中国内地
44,卢卡斯·沃尔顿,Lukas Walton,184,沃尔玛,美国
45,弗拉基米尔·利辛,Vladimir Lisin,181,"钢铁, 交通运输",俄罗斯
46,雷伊·达里奥,Ray Dalio,180,对冲基金,美国
47,滝崎武光,Takemitsu Takizaki,174,传感器,日本
48,列昂尼德·米赫尔松,Leonid Mikhelson,171,"天然气, 化工",俄罗斯
48,阿兰·韦特海默,Alain Wertheimer,171,香奈儿,法国
48,杰拉德·韦特海默,Gerard Wertheimer,171,香奈儿,法国
51,小西奥·阿尔布雷希特及家族,Theo Albrecht Jr & family,170,"Aldi, Trader Joe's",德国
51,莱恩·布拉瓦特尼克,Len Blavatnik,170,多元化经营,美国
51,丁磊,William Lei Ding,170,网络游戏,中国内地
54,苏珊娜·克拉腾,Susanne Klatten,168,"BMW, 医药",德国
54,阿列克谢·莫尔达索夫及家族,Alexey Mordashov & family,168,"钢铁, 投资",俄罗斯
56,孙正义,Masayoshi Son,166,"互联网, 电信",日本
57,黄峥,Colin Zheng Huang,165,电商,中国内地
57,迪特里希·梅特舒兹,Dietrich Mateschitz,165,红牛,奥地利
59,刘銮雄,Joseph Lau,164,房地产,中国香港
